"Elster Metering Systems","Printed: Tuesday, January 21, 2020 1:15:58 PM","","","","","","",""
"","Hill Side Apartments","","","","","","",""
"Script Generated by SMARTset Version 1.1.6438.16169","","","","","","","",""
"Reading Created by SMARTset Version 1.1.6438.16169","","","","","","","",""
"Meter Firmware Build: 2-01381-D","","","","","","","",""
"Status: Program Completed Normally.   (000000)","","","","","","","",""
"Meter Constants","","","","","","","",""
"","Meter Constants","","","","","","",""
"","","Current Connection","","","","","",""
"","","","","Primary","Secondary","","Ratio",""
"","","","CT/VT","150","5","=","30.000",""
"","CT/VT Error","","","","","","",""
"","","CT Error %","0.00%","","","","",""
"","","VT Error %","0.00%","","","","",""
"","","","","","","","",""
"Time and Date","","","","","","","",""
"","Daylight Saving Setup","","","","","","",""
"","","Daylight Saving","Enabled","","","","",""
"","","Advance On","Every First Sunday of September at 01:00","","","","",""
"","","Retard On","Every First Sunday of April at 02:00","","","","",""
"","","Adjust By","1 hours","","","","",""
"","Meter Time","","","","","","",""
"","Meter Time:","Tuesday, October 22, 2019 8:39:36 AM","","","","","",""
"","PC (or HHU) clock:","Tuesday, October 22, 2019 8:35:51 AM","","","","","",""
"","Difference:","Meter is 0 days, 0 hours, 3 minutes, 45 seconds ahead","","","","","",""
"","","","","","","","",""
"Current Values","","","","","","","",""
"","Cumulative Registers","","","","","","",""
"","","MU Totals","","","","","",""
"","","","Value","Source","","","",""
"","","","0.000","Multi-utility register 1","","","",""
"","","","0.000","Multi-utility register 2","","","",""
"","","","0.000","Multi-utility register 3","","","",""
"","","","0.000","Multi-utility register 4","","","",""
"","","Coincident Demands","","","","","",""
"","","","Ref","Value","Source","","",""
"","","","CD 1a","0.000","No source","","",""
"","","","CD 1b","0.000","No source","","",""
"","","","CD 1c","0.000","No source","","",""
"","","","","","","","",""
"","","","CD 2a","0.000","No source","","",""
"","","","CD 2b","0.000","No source","","",""
"","","","CD 2c","0.000","No source","","",""
"","","","","","","","",""
"","","","CD 3a","0.000","No source","","",""
"","","","CD 3b","0.000","No source","","",""
"","","","CD 3c","0.000","No source","","",""
"","","","","","","","",""
"","","","CD 4a","0.000","No source","","",""
"","","","CD 4b","0.000","No source","","",""
"","","","CD 4c","0.000","No source","","",""
"","","","","","","","",""
"","","","CD 5a","0.000","No source","","",""
"","","","CD 5b","0.000","No source","","",""
"","","","CD 5c","0.000","No source","","",""
"","","Billing Event Details","","","","","",""
"","","","Time of Billing Reset","Sunday, September 1, 2019 12:00 AM","","","",""
"","","","Count","56.000","","","",""
"","","","Period Start","Thursday, August 1, 2019 12:00 AM","","","",""
"","","","Period End","Sunday, September 1, 2019 12:00 AM","","","",""
"","","","Billing Reason","","","","",""
"","","","","Automatic Billing Date","","","",""
"","Historical Data Set 3 of 36","","","","","","",""
"","","Cumulative Totals","","","","","",""
"","","","Value","Source","","","",""
"","","","853,427,061.600","Import Wh","","","",""
"","","","0.000","Export Wh","","","",""
"","","","184,649,341.200","Q1 varh","","","",""
"","","","0.000","Q2 varh","","","",""
"","","","0.000","Q3 varh","","","",""
"","","","236.400","Q4 varh","","","",""
"","","","875,533,441.200","Total VAh","","","",""
"","","","184,649,577.600","Customer Defined 1","","","",""
"","","","0.000","Customer Defined 2","","","",""
"","","","0.000","Customer Defined 3","","","",""
"","","Rates","","","","","",""
"","","","Ref","Value","Source","","",""
"","","","Rate 1","231,261,944.400","Import Wh","","",""
"","","","Rate 2","252,870,031.200","Import Wh","","",""
"","","","Rate 3","358,082,523.600","Import Wh","","",""
"","","","Rate 4","842,214,499.200","Import Wh","","",""
"","","","Rate 5","0.000","Export Wh","","",""
"","","","Rate 6","0.000","No source","","",""
"","","","Rate 7","0.000","No source","","",""
"","","","Rate 8","0.000","No source","","",""
"","","","Rate 9","0.000","No source","","",""
"","","","Rate 10","0.000","No source","","",""
"","","","Rate 11","0.000","No source","","",""
"","","","Rate 12","0.000","No source","","",""
"","","","Rate 13","0.000","No source","","",""
"","","","Rate 14","0.000","No source","","",""
"","","","Rate 15","0.000","No source","","",""
"","","","Rate 16","0.000","No source","","",""
"","","","Rate 17","0.000","No source","","",""
"","","","Rate 18","0.000","No source","","",""
"","","","Rate 19","0.000","No source","","",""
"","","","Rate 20","0.000","No source","","",""
"","","","Rate 21","0.000","No source","","",""
"","","","Rate 22","0.000","No source","","",""
"","","","Rate 23","0.000","No source","","",""
"","","","Rate 24","0.000","No source","","",""
"","","","Rate 25","0.000","No source","","",""
"","","","Rate 26","0.000","No source","","",""
"","","","Rate 27","0.000","No source","","",""
"","","","Rate 28","0.000","No source","","",""
"","","","Rate 29","0.000","No source","","",""
"","","","Rate 30","0.000","No source","","",""
"","","","Rate 31","0.000","No source","","",""
"","","","Rate 32","0.000","No source","","",""
"","","Maximum Demands","","","","","",""
"","","","Ref","Value","Source","Date and Time","",""
"","","","MD 1a","42,019.200","Total VA","Thursday, July 4, 2019 10:00:00 AM","",""
"","","","MD 1b","46,449.600","Total VA","Friday, July 5, 2019 8:30:00 AM","",""
"","","","MD 1c","43,020.000","Total VA","Friday, July 5, 2019 8:00:00 AM","",""
"","","","","","","","",""
"","","","MD 2a","0.000","No source","Not available","",""
"","","","MD 2b","0.000","No source","Not available","",""
"","","","MD 2c","0.000","No source","Not available","",""
"","","","","","","","",""
"","","","MD 3a","0.000","No source","Not available","",""
"","","","MD 3b","0.000","No source","Not available","",""
"","","","MD 3c","0.000","No source","Not available","",""
